sample,fresh_mass,dry_mass,water_mass,water_percent,tag,number_of_foliar_discs,foliar_disc_surface,sample_gain,mean_gain,spad_measure_1,spad_measure_2,spad_measure_3,spad_measure_4,spad_measure_5,spad_measure_6,fv_fm,leaf_water_potential,leaf_osmotic_potential,stomatal_conductance,relative_foliar_water_content,foliar_surface
10-1-001,0.13945,0.02226,0.11719,84.03728935,0,10,3.85E-05,82,81,,,,,,,,,,,,
10-1-002,0.16527,0.02236,0.14291,86.47062383,0,10,3.85E-05,79,81,,,,,,,,,,,,
10-1-003,0.18807,0.0324,0.15567,82.77237199,0,10,3.85E-05,79,81,,,,,,,,,,,,
10-1-004,0.16922,0.02818,0.14104,83.34712209,0,10,3.85E-05,79,81,,,,,,,,,,,,
10-1-005,0.18644,0.03553,0.15091,80.9429307,0,10,3.85E-05,79,81,,,,,,,,,,,,
10-1-006,0.18274,0.03469,0.14805,81.0167451,0,10,3.85E-05,79,81,,,,,,,,,,,,
10-1-007,0.17618,0.03951,0.13667,77.57407197,0,10,3.85E-05,79,81,,,,,,,,,,,,
10-1-008,0.18456,0.03646,0.1481,80.24490681,0,10,3.85E-05,79,81,,,,,,,,,,,,
10-1-009,0.17304,0.03086,0.14218,82.16597319,0,10,3.85E-05,79,81,,,,,,,,,,,,
10-1-010,0.16859,0.02808,0.14051,83.34420784,0,10,3.85E-05,79,81,,,,,,,,,,,,
10-1-011,0.14633,0.02198,0.12435,84.9791567,1,10,3.85E-05,81,81,,,,,,,,,,,,
10-1-012,0.1352,0.02447,0.11073,81.90088757,0,10,3.85E-05,82,81,,,,,,,,,,,,
10-1-013,0.11821,0.01699,0.10122,85.6272735,0,10,3.85E-05,83,81,,,,,,,,,,,,
10-1-014,0.11777,0.01798,0.09979,84.73295406,0,10,3.85E-05,83,81,,,,,,,,,,,,
10-1-015,0.10832,0.01722,0.0911,84.10265879,0,10,3.85E-05,84,81,,,,,,,,,,,,
10-1-016,0.09821,0.01568,0.08253,84.0342124,0,10,3.85E-05,85,81,,,,,,,,,,,,
10-2-001,0.21296,0.04126,0.1717,80.62546957,0,10,3.85E-05,77,81,,,,,,,,,,,,
10-2-002,0.2188,0.03454,0.18426,84.21389397,0,10,3.85E-05,77,81,,,,,,,,,,,,
10-2-003,0.20586,0.04283,0.16303,79.19459827,0,10,3.85E-05,78,81,,,,,,,,,,,,
10-2-004,0.23136,0.03516,0.1962,84.80290456,0,10,3.85E-05,76,81,,,,,,,,,,,,
10-2-005,0.21052,0.03632,0.1742,82.74748242,0,10,3.85E-05,77,81,,,,,,,,,,,,
10-2-006,0.21501,0.03349,0.18152,84.42398028,0,10,3.85E-05,77,81,,,,,,,,,,,,
10-2-007,0.21328,0.03569,0.17759,83.26612903,0,10,3.85E-05,77,81,,,,,,,,,,,,
10-2-008,0.19814,0.03787,0.16027,80.88725144,0,10,3.85E-05,78,81,,,,,,,,,,,,
10-2-009,0.21184,0.03484,0.177,83.55362538,0,10,3.85E-05,77,81,,,,,,,,,,,,
10-2-010,0.20178,0.0372,0.16458,81.56407969,0,10,3.85E-05,78,81,,,,,,,,,,,,
10-2-011,0.19075,0.0388,0.15195,79.65923984,0,10,3.85E-05,78,81,,,,,,,,,,,,
10-2-012,0.17203,0.03082,0.14121,82.08452014,1,10,3.85E-05,79,81,,,,,,,,,,,,
10-2-013,0.14074,0.02428,0.11646,82.74833025,0,10,3.85E-05,81,81,,,,,,,,,,,,
10-2-014,0.12393,0.01985,0.10408,83.98289357,0,10,3.85E-05,82,81,,,,,,,,,,,,
10-2-015,0.12505,0.02107,0.10398,83.1507397,0,10,3.85E-05,82,81,,,,,,,,,,,,
10-2-016,0.10122,0.01578,0.08544,84.41019561,0,10,3.85E-05,84,81,,,,,,,,,,,,
10-2-017,0.10412,0.01741,0.08671,83.27890895,0,10,3.85E-05,84,81,,,,,,,,,,,,
10-3-001,0.2186,0.03091,0.18769,85.8600183,0,10,3.85E-05,77,81,,,,,,,,,,,,
10-3-002,0.19951,0.02751,0.172,86.21121748,0,10,3.85E-05,78,81,,,,,,,,,,,,
10-3-003,0.21219,0.03134,0.18085,85.2302182,0,10,3.85E-05,77,81,,,,,,,,,,,,
10-3-004,0.18919,0.03002,0.15917,84.13235372,0,10,3.85E-05,78,81,,,,,,,,,,,,
10-3-005,0.19652,0.02753,0.16899,85.99124771,0,10,3.85E-05,78,81,,,,,,,,,,,,
10-3-006,0.20013,0.02889,0.17124,85.56438315,0,10,3.85E-05,78,81,,,,,,,,,,,,
10-3-007,0.17092,0.02433,0.14659,85.7652703,0,10,3.85E-05,79,81,,,,,,,,,,,,
10-3-008,0.16406,0.02291,0.14115,86.03559673,1,10,3.85E-05,80,81,,,,,,,,,,,,
10-3-009,0.14741,0.02272,0.12469,84.58720575,0,10,3.85E-05,81,81,,,,,,,,,,,,
10-3-010,0.13277,0.0191,0.11367,85.61422008,0,10,3.85E-05,81,81,,,,,,,,,,,,
10-3-011,0.12111,0.01847,0.10264,84.74940137,0,10,3.85E-05,82,81,,,,,,,,,,,,
10-3-012,0.11119,0.01642,0.09477,85.23248494,0,10,3.85E-05,83,81,,,,,,,,,,,,
10-3-013,0.10223,0.01514,0.08709,85.19025726,0,10,3.85E-05,84,81,,,,,,,,,,,,
10-3-014,0.10456,0.01644,0.08812,84.27697016,0,10,3.85E-05,84,81,,,,,,,,,,,,
10-3-015,0.08129,0.01392,0.06737,82.87612252,0,10,3.85E-05,86,81,,,,,,,,,,,,
10-4-001,0.19472,0.02282,0.1719,88.28060805,0,10,3.85E-05,78,81,,,,,,,,,,,,
10-4-002,0.20779,0.02968,0.17811,85.71634824,0,10,3.85E-05,77,81,,,,,,,,,,,,
10-4-003,0.19871,0.03104,0.16767,84.37924614,0,10,3.85E-05,78,81,,,,,,,,,,,,
10-4-004,0.2214,0.04148,0.17992,81.26467931,0,10,3.85E-05,77,81,,,,,,,,,,,,
10-4-005,0.20774,0.04094,0.1668,80.29267353,0,10,3.85E-05,78,81,,,,,,,,,,,,
10-4-006,0.16303,0.03042,0.13261,81.34085751,0,9,3.85E-05,80,81,,,,,,,,,,,,
