sample,position_1_1,position_2_1,position_3_1,position_4,position_5
1-1-001,,,15,193,492
1-1-002,,,16,155,329
1-1-003,,,15,123,330
1-1-004,,,15,137,297
1-1-005,,,16,105,231
1-1-006,,,17,213,
1-1-007,0,,17,170,
1-1-008,0,,16,158,
1-1-009,,,15,130,
1-2-001,0,,14,111,310
1-2-002,,,14,107,315
1-2-003,,,15,116,300
1-2-004,,,14,97,277
1-2-005,0,,15,201,
1-2-006,0,,17,173,
1-2-007,1,,16,145,
1-2-008,0,,14,125,
1-2-009,0,,14,112,
1-3-001,,,15,122,313
1-3-002,0,,15,116,301
1-3-003,0,,16,104,264
1-3-004,,,16,117,299
1-3-005,0,,17,65,215
1-3-006,0,,17,76,203
1-3-007,0,,17,167,
1-3-008,0,,15,128,
1-3-009,,,12,119,
1-3-010,,,11,84,
1-4-001,,,15,174,411
1-4-002,,,14,128,347
1-4-004,0,,17,86,270
1-4-005,,,15,88,255
1-4-006,0,,16,215,
1-4-007,0,,16,186,
1-4-008,,,16,170,
1-4-009,0,,13,128,
2-1-001,,,14,148,616
2-1-002,0,,13,162,407
2-1-003,1,,14,122,262
2-1-004,1,,14,158,
2-1-005,2,,15,114,228
2-1-006,2,,16,104,223
2-1-007,2,,15,118,212
2-1-008,2,,15,112,266
2-1-009,1,,14,108,
2-1-010,1,,15,109,
2-1-011,2,,15,115,
2-1-012,1,,14,106,
2-1-013,1,,15,101,
2-1-014,2,,18,78,
2-2-001,,,15,197,632
2-2-002,1,,17,140,294
2-2-003,1,,17,129,271
2-2-004,2,,17,113,209
2-2-005,1,,17,120,
2-2-006,2,,16,131,
2-2-007,2,,17,130,
2-2-008,1,,17,128,
2-2-009,1,,15,123,
2-2-010,1,,17,134,
2-2-011,1,,18,150,
2-2-012,0,,16,130,
2-2-013,2,,20,119,
2-3-001,,,15,190,438
2-3-002,,,16,172,346
2-3-003,0,,17,150,305
2-3-004,0,,16,125,264
2-3-005,0,,16,134,269
2-3-006,0,,16,153,
2-3-007,1,,17,140,
2-3-008,0,,16,198,
2-3-009,1,,17,127,
2-3-010,0,,17,164,
2-3-011,0,,17,162,
2-3-012,1,,17,127,
2-3-013,2,,17,148,
2-3-014,1,,19,107,
2-3-015,1,,19,93,
2-3-016,0,,18,70,
2-4-001,,,15,166,365
2-4-002,,,15,164,344
2-4-003,,,15,143,311
2-4-004,0,,15,154,331
2-4-005,0,,16,144,269
2-4-006,0,,16,131,239
2-4-007,0,,16,175,
2-4-008,0,,16,165,
2-4-009,2,,17,109,194
2-4-010,1,,17,177,
2-4-011,1,,16,131,
2-4-012,3,,15,99,
2-4-013,2,,17,104,
2-4-014,1,,16,91,
4-1-001,,6,,76,216
4-1-002,1,6,,151,
4-1-003,0,5,,136,
4-1-004,0,5,,89,
4-1-005,4,,,151,
4-1-006,0,6,,113,
4-1-007,3,6,,136,
4-1-008,4,,,107,
4-1-009,3,,15,121,
4-1-010,0,8,,105,
4-1-011,0,5,,91,
4-1-012,,6,,106,
4-1-013,2,,,83,
4-1-014,4,,,84,
4-1-015,2,5,26,81,
4-1-016,2,,,73,
4-2-001,,6,,162,591
4-2-002,4,,21,163,587
4-2-003,1,8,,202,
4-2-004,,,14,208,
4-2-005,1,7,,193,
4-2-006,4,,,167,
4-2-007,4,,,154,
4-2-008,4,,,144,
4-2-009,3,,,121,
4-2-010,4,,,133,
4-2-011,1,,12,117,
4-2-012,0,5,,125,
4-2-013,,5,,107,
4-2-014,0,5,,100,
4-2-015,3,,,87,
4-3-001,0,,11,125,390
4-3-002,2,8,,192,
4-3-003,,5,,198,
4-3-004,0,9,,163,
4-3-005,4,,32,138,
4-3-006,1,,11,145,
4-3-007,0,5,20,156,
4-3-008,0,,11,102,
4-3-009,1,,12,117,
4-3-010,1,,11,114,
4-3-011,1,,11,108,
4-3-012,0,6,33,107,
4-3-013,0,5,13,77,
4-3-014,0,,11,86,
4-3-015,2,,15,71,
4-4-001,0,5,17,134,426
4-4-002,0,5,20,102,237
4-4-003,3,,,203,
4-4-004,3,,18,162,
4-4-005,1,8,,166,
4-4-006,3,,,167,
4-4-007,1,6,36,136,
4-4-008,4,,,128,
4-4-009,3,,,117,
4-4-010,,8,,118,
4-4-011,4,,20,119,
4-4-012,0,6,,117,
5-1-001,0,10,,93,310
5-1-002,4,,13,96,305
5-1-003,1,8,19,185,
5-1-004,1,9,,140,
5-1-005,0,6,24,121,
5-1-006,,6,,170,
5-1-007,3,,12,98,
5-1-008,1,5,,115,
5-1-009,,5,,125,
5-1-010,0,5,19,118,
5-1-011,2,9,,114,
5-1-012,0,6,21,94,
5-1-013,0,8,,96,
5-2-001,0,6,39,205,524
5-2-002,0,6,,73,194
5-2-003,4,,,64,193
5-2-004,0,8,,86,200
5-2-005,0,9,,145,
5-2-006,1,9,,151,
5-2-007,2,8,,154,
5-2-008,4,,38,151,
5-2-009,1,7,36,150,
5-2-010,,6,,133,
5-2-011,0,5,19,114,
5-2-012,3,,11,130,
5-2-013,0,8,,106,
5-2-014,4,,,113,
5-2-015,4,,,113,
5-2-016,1,,14,98,
5-2-017,3,,11,88,
5-3-001,0,5,23,194,552
5-3-002,,7,,136,382
5-3-003,1,8,54,183,
5-3-004,4,,45,231,
5-3-005,4,,13,194,
5-3-006,1,8,,192,
5-3-007,0,8,37,185,
5-3-008,0,8,39,165,
5-3-009,4,,,100,206
5-3-010,0,8,49,153,
5-3-011,1,8,,120,
5-3-012,,6,,136,
5-3-013,3,,,118,
